@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric
@attribute outputs-8 numeric
@attribute outputs-9 numeric

@data
181,'2018/07/04 21:42:04:591',6,57,74,34,1.059998,917.702393,0.130001,5,0.06,293.664764,0.49,0.17,1
182,'2018/07/04 21:42:04:664',6,57,76,34,1.059998,917.702393,0.130001,5,0.06,293.664764,0.49,0.17,1
183,'2018/07/04 21:42:04:669',6,58,76,34,1.059998,917.702393,0.130001,5,0.06,293.664764,0.49,0.17,1
184,'2018/07/04 21:42:04:695',6,59,76,34,1.059998,917.702393,0.130001,5,0.06,293.664764,0.49,0.17,1
185,'2018/07/04 21:42:04:695',6,59,77,34,1.059998,917.702393,0.130001,5,0.06,293.664764,0.49,0.17,1
186,'2018/07/04 21:42:04:705',6,59,77,34,1.059998,917.702393,0.130001,5,0.06,293.664764,0.49,0.17,1
187,'2018/07/04 21:42:05:072',6,59,77,34,1.059998,917.702393,0.130001,5,0.06,293.664764,0.49,0.17,1
188,'2018/07/04 21:42:05:073',6,59,76,34,1.059998,917.702393,0.130001,5,0.06,293.664764,0.49,0.17,1
189,'2018/07/04 21:42:05:073',6,59,75,34,1.059998,917.702393,0.130001,5,0.06,293.664764,0.49,0.17,1
190,'2018/07/04 21:42:05:177',6,59,74,34,1.059998,917.702393,0.130001,5,0.06,293.664764,0.49,0.17,1
191,'2018/07/04 21:42:05:251',6,59,74,34,1.059998,917.702393,0.130001,5,0.06,293.664764,0.49,0.17,1
192,'2018/07/04 21:42:05:276',6,59,74,34,1.059998,917.702393,0.130001,5,0.06,293.664764,0.49,0.17,1
193,'2018/07/04 21:42:05:320',6,59,74,34,1.059998,917.702393,0.130001,5,0.06,293.664764,0.49,0.17,1
194,'2018/07/04 21:42:05:351',6,58,74,34,1.059998,917.702393,0.130001,5,0.06,293.664764,0.49,0.17,1
195,'2018/07/04 21:42:05:401',6,57,74,34,1.059998,917.702393,0.130001,5,0.06,293.664764,0.49,0.17,1
196,'2018/07/04 21:42:05:423',6,57,73,34,1.059998,917.702393,0.130001,5,0.06,293.664764,0.49,0.17,1
197,'2018/07/04 21:42:05:423',6,56,73,34,1.059998,917.702393,0.130001,5,0.06,293.664764,0.49,0.17,1
198,'2018/07/04 21:42:09:360',7,56,73,47,1.059998,917.702393,0.130001,5,0.06,293.664764,0.49,0.17,1
199,'2018/07/04 21:42:09:475',7,56,85,47,1.059998,917.702393,0.130001,5,0.06,293.664764,0.49,0.17,1
200,'2018/07/04 21:42:09:476',7,56,85,52,1.059998,917.702393,0.130001,5,0.06,293.664764,0.49,0.17,1
201,'2018/07/04 21:42:09:497',7,56,85,53,1.059998,917.702393,0.130001,5,0.06,293.664764,0.49,0.17,1
202,'2018/07/04 21:42:09:507',7,56,85,54,1.059998,917.702393,0.130001,5,0.06,293.664764,0.49,0.17,1
203,'2018/07/04 21:42:09:533',7,56,85,55,1.059998,917.702393,0.130001,5,0.06,293.664764,0.49,0.17,1
204,'2018/07/04 21:42:09:540',7,56,85,56,1.059998,917.702393,0.130001,5,0.06,293.664764,0.49,0.17,1
205,'2018/07/04 21:42:09:563',7,56,85,56,1.059998,917.702393,0.130001,5,0.06,293.664764,0.49,0.17,1
206,'2018/07/04 21:42:09:583',7,56,85,57,1.059998,917.702393,0.130001,5,0.06,293.664764,0.49,0.17,1
207,'2018/07/04 21:42:09:588',7,56,85,58,1.059998,917.702393,0.130001,5,0.06,293.664764,0.49,0.17,1
208,'2018/07/04 21:42:09:629',7,56,85,58,1.059998,917.702393,0.130001,5,0.06,293.664764,0.49,0.17,1
209,'2018/07/04 21:42:09:636',7,56,85,59,1.059998,917.702393,0.130001,5,0.06,293.664764,0.49,0.17,1
210,'2018/07/04 21:42:09:663',7,56,85,59,1.059998,917.702393,0.130001,5,0.06,293.664764,0.49,0.17,1
211,'2018/07/04 21:42:09:687',7,56,85,60,1.059998,917.702393,0.130001,5,0.06,293.664764,0.49,0.17,1
212,'2018/07/04 21:42:09:687',7,56,85,60,1.059998,917.702393,0.130001,5,0.06,293.664764,0.49,0.17,1
213,'2018/07/04 21:42:09:736',7,71,85,60,1.059998,917.702393,0.130001,5,0.06,293.664764,0.49,0.17,1
214,'2018/07/04 21:42:09:741',7,71,85,60,1.059998,917.702393,0.130001,5,0.06,293.664764,0.49,0.17,1
215,'2018/07/04 21:42:09:755',7,71,85,60,1.059998,917.702393,0.130001,5,0.06,293.664764,0.49,0.17,1
216,'2018/07/04 21:42:09:836',7,71,84,60,1.059998,917.702393,0.130001,5,0.06,293.664764,0.49,0.17,1
217,'2018/07/04 21:42:09:843',7,67,84,60,1.059998,917.702393,0.130001,5,0.06,293.664764,0.49,0.17,1
218,'2018/07/04 21:42:09:847',7,67,84,60,1.059998,917.702393,0.130001,5,0.06,293.664764,0.49,0.17,1
219,'2018/07/04 21:42:09:856',7,67,84,60,1.059998,917.702393,0.130001,5,0.06,293.664764,0.49,0.17,1
220,'2018/07/04 21:42:09:859',7,67,83,60,1.059998,917.702393,0.130001,5,0.06,293.664764,0.49,0.17,1
221,'2018/07/04 21:42:09:875',7,65,83,60,1.059998,917.702393,0.130001,5,0.06,293.664764,0.49,0.17,1
222,'2018/07/04 21:42:09:887',7,65,81,60,1.059998,917.702393,0.130001,5,0.06,293.664764,0.49,0.17,1
223,'2018/07/04 21:42:09:891',7,65,81,60,1.059998,917.702393,0.130001,5,0.06,293.664764,0.49,0.17,1
224,'2018/07/04 21:42:09:908',7,64,81,60,1.059998,917.702393,0.130001,5,0.06,293.664764,0.49,0.17,1
225,'2018/07/04 21:42:09:911',7,64,79,60,1.059998,917.702393,0.130001,5,0.06,293.664764,0.49,0.17,1
226,'2018/07/04 21:42:09:935',7,63,79,60,1.059998,917.702393,0.130001,5,0.06,293.664764,0.49,0.17,1
227,'2018/07/04 21:42:09:937',7,63,77,60,1.059998,917.702393,0.130001,5,0.06,293.664764,0.49,0.17,1
228,'2018/07/04 21:42:09:943',7,63,77,60,1.059998,917.702393,0.130001,5,0.06,293.664764,0.49,0.17,1
229,'2018/07/04 21:42:09:961',7,63,75,60,1.059998,917.702393,0.130001,5,0.06,293.664764,0.49,0.17,1
230,'2018/07/04 21:42:09:996',7,63,74,60,1.059998,917.702393,0.130001,5,0.06,293.664764,0.49,0.17,1
231,'2018/07/04 21:42:10:112',7,63,74,60,1.059998,917.702393,0.130001,5,0.06,293.664764,0.49,0.17,1
232,'2018/07/04 21:42:10:145',7,62,74,60,1.059998,917.702393,0.130001,5,0.06,293.664764,0.49,0.17,1
233,'2018/07/04 21:42:10:153',7,62,74,60,1.059998,917.702393,0.130001,5,0.06,293.664764,0.49,0.17,1
234,'2018/07/04 21:42:10:180',7,61,74,60,1.059998,917.702393,0.130001,5,0.06,293.664764,0.49,0.17,1
235,'2018/07/04 21:42:10:191',7,61,73,60,1.059998,917.702393,0.130001,5,0.06,293.664764,0.49,0.17,1
