@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute outputs-1 {0,1,2,3,4,5}

@data
72,'2018/07/12 22:06:15:558',2,360.623718,415.114532,56.677322,413.072479,367.635498,73.277908,358.69751,403.537231,47.354534,334.172546,396.66217,46.677448,309.446716,387.197754,47.771229,1
73,'2018/07/12 22:06:15:617',2,358.105591,413.247406,56.70491,412.093201,365.638306,73.225525,357.680908,402.010437,47.318558,333.20929,395.295715,46.666512,308.454193,385.749786,47.740417,1
74,'2018/07/12 22:06:15:672',2,356.849457,411.860229,56.783836,411.804291,364.252075,73.267105,356.971924,401.24762,47.435966,332.601166,394.234314,46.712173,307.899597,384.553345,47.774696,1
75,'2018/07/12 22:06:15:728',2,356.239075,410.156555,56.890625,412.319733,362.315796,73.262642,356.333282,400.716309,47.590946,332.210724,393.06842,46.738979,307.720612,383.185638,47.782616,1
76,'2018/07/12 22:06:15:786',2,356.734253,409.030884,56.849598,412.58432,361.832703,73.263458,356.602905,399.285614,47.455677,332.518494,391.898682,46.684742,308.021851,382.092224,47.748898,1
77,'2018/07/12 22:06:15:843',2,357.114014,408.727051,56.811745,412.849091,361.757385,73.267311,356.825867,398.547394,47.353199,332.731201,391.485931,46.6605,308.207825,381.768066,47.736969,1
78,'2018/07/12 22:06:15:899',2,357.352295,408.595276,56.779358,413.035156,361.645264,73.275414,356.971741,398.22583,47.312328,332.881287,391.264648,46.643326,308.356873,381.654327,47.720856,1
79,'2018/07/12 22:06:19:860',3,331.331757,394.351532,52.093441,414.627014,355.604553,73.233093,358.937653,384.49646,46.933231,335.180206,378.910431,46.225288,308.680725,371.872772,47.554127,1
80,'2018/07/12 22:06:19:917',3,336.071991,393.961548,52.324429,417.133331,355.955994,73.211525,359.719604,383.838531,47.04908,335.804047,378.694092,46.417011,309.079041,371.923706,47.782631,1
81,'2018/07/12 22:06:19:975',3,342.496033,392.980408,52.558189,416.976135,355.651367,73.323753,359.807312,381.809998,47.12867,335.92807,377.059448,46.561951,308.984253,370.523315,47.934433,1
